DiseaseCode,DiseaseName,Occurances,SymptomsCode,SymptomsName
C0020538,hypertensive disease,3363,C0008031,pain chest
C0020538,hypertensive disease,3363,C0392680,shortness of breath
C0020538,hypertensive disease,3363,C0012833,dizziness
C0020538,hypertensive disease,3363,C0004093,asthenia
C0020538,hypertensive disease,3363,C0085639,fall
C0020538,hypertensive disease,3363,C0039070,syncope
C0020538,hypertensive disease,3363,C0042571,vertigo
C0020538,hypertensive disease,3363,C0038990,sweat^UMLS:C0700590_sweating increased
C0020538,hypertensive disease,3363,C0030252,palpitation
C0020538,hypertensive disease,3363,C0027497,nausea
C0020538,hypertensive disease,3363,C0002962,angina pectoris
C0020538,hypertensive disease,3363,C0438716,pressure chest
C0011847,diabetes,1421,C0032617,polyuria
C0011847,diabetes,1421,C0085602,polydypsia
C0011847,diabetes,1421,C0392680,shortness of breath
C0011847,diabetes,1421,C0008031,pain chest
C0011847,diabetes,1421,C0004093,asthenia
C0011847,diabetes,1421,C0027497,nausea
C0011847,diabetes,1421,C0085619,orthopnea
C0011847,diabetes,1421,C0034642,rale
C0011847,diabetes,1421,C0038990,sweat^UMLS:C0700590_sweating increased
C0011847,diabetes,1421,C0241526,unresponsiveness
C0011847,diabetes,1421,C0856054,mental status changes
C0011847,diabetes,1421,C0042571,vertigo
C0011847,diabetes,1421,C0042963,vomiting
C0011847,diabetes,1421,C0553668,labored breathing
C0011570,depression mental^UMLS:C0011581_depressive disorder,1337,C0424000,feeling suicidal
C0011570,depression mental^UMLS:C0011581_depressive disorder,1337,C0438696,suicidal
C0011570,depression mental^UMLS:C0011581_depressive disorder,1337,C0233762,hallucinations auditory
C0011570,depression mental^UMLS:C0011581_depressive disorder,1337,C0150041,feeling hopeless
C0011570,depression mental^UMLS:C0011581_depressive disorder,1337,C0424109,weepiness
C0011570,depression mental^UMLS:C0011581_depressive disorder,1337,C0917801,sleeplessness
C0011570,depression mental^UMLS:C0011581_depressive disorder,1337,C0424230,motor retardation
C0011570,depression mental^UMLS:C0011581_depressive disorder,1337,C0022107,irritable mood
C0011570,depression mental^UMLS:C0011581_depressive disorder,1337,C0312422,blackout
C0011570,depression mental^UMLS:C0011581_depressive disorder,1337,C0344315,mood depressed
C0011570,depression mental^UMLS:C0011581_depressive disorder,1337,C0233763,hallucinations visual
C0011570,depression mental^UMLS:C0011581_depressive disorder,1337,C0233481,worry
C0011570,depression mental^UMLS:C0011581_depressive disorder,1337,C0085631,agitation
C0011570,depression mental^UMLS:C0011581_depressive disorder,1337,C0040822,tremor
C0011570,depression mental^UMLS:C0011581_depressive disorder,1337,C0728899,intoxication
C0011570,depression mental^UMLS:C0011581_depressive disorder,1337,C0424068,verbal auditory hallucinations
C0011570,depression mental^UMLS:C0011581_depressive disorder,1337,C0455769,energy increased
C0011570,depression mental^UMLS:C0011581_depressive disorder,1337,C1299586,difficulty
C0011570,depression mental^UMLS:C0011581_depressive disorder,1337,C0028084,nightmare
C0011570,depression mental^UMLS:C0011581_depressive disorder,1337,C0235198,unable to concentrate
C0011570,depression mental^UMLS:C0011581_depressive disorder,1337,C0237154,homelessness
C0010054,coronary arteriosclerosis^UMLS:C0010068_coronary heart disease,1284,C0008031,pain chest
C0010054,coronary arteriosclerosis^UMLS:C0010068_coronary heart disease,1284,C0002962,angina pectoris
C0010054,coronary arteriosclerosis^UMLS:C0010068_coronary heart disease,1284,C0392680,shortness of breath
C0010054,coronary arteriosclerosis^UMLS:C0010068_coronary heart disease,1284,C0086439,hypokinesia
C0010054,coronary arteriosclerosis^UMLS:C0010068_coronary heart disease,1284,C0038990,sweat^UMLS:C0700590_sweating increased
C0010054,coronary arteriosclerosis^UMLS:C0010068_coronary heart disease,1284,C0438716,pressure chest
C0010054,coronary arteriosclerosis^UMLS:C0010068_coronary heart disease,1284,C0231807,dyspnea on exertion
C0010054,coronary arteriosclerosis^UMLS:C0010068_coronary heart disease,1284,C0085619,orthopnea
C0010054,coronary arteriosclerosis^UMLS:C0010068_coronary heart disease,1284,C0232292,chest tightness
C0032285,pneumonia,1029,C0010200,cough
C0032285,pneumonia,1029,C0015967,fever
C0032285,pneumonia,1029,C0029053,decreased translucency
C0032285,pneumonia,1029,C0392680,shortness of breath
C0032285,pneumonia,1029,C0034642,rale
C0032285,pneumonia,1029,C0239134,productive cough
C0032285,pneumonia,1029,C0008033,pleuritic pain
C0032285,pneumonia,1029,C0457096,yellow sputum
C0032285,pneumonia,1029,C0238844,breath sounds decreased
C0032285,pneumonia,1029,C0085593,chill
C0032285,pneumonia,1029,C0035508,rhonchus
C0032285,pneumonia,1029,C0457097,green sputum
C0032285,pneumonia,1029,C0850149,non-productive cough
C0032285,pneumonia,1029,C0043144,wheezing
C0032285,pneumonia,1029,C0019079,haemoptysis
C0032285,pneumonia,1029,C0476273,distress respiratory
C0032285,pneumonia,1029,C0231835,tachypnea
C0032285,pneumonia,1029,C0231218,malaise
C0032285,pneumonia,1029,C0028081,night sweat
C0018802,failure heart congestive,963,C0392680,shortness of breath
C0018802,failure heart congestive,963,C0085619,orthopnea
C0018802,failure heart congestive,963,C0240100,jugular venous distention
C0018802,failure heart congestive,963,C0034642,rale
C0018802,failure heart congestive,963,C0013404,dyspnea
C0018802,failure heart congestive,963,C0010200,cough
C0018802,failure heart congestive,963,C0043144,wheezing
C0038454,accident cerebrovascular,885,C0013362,dysarthria
C0038454,accident cerebrovascular,885,C0004093,asthenia
C0038454,accident cerebrovascular,885,C0234518,speech slurred
C0038454,accident cerebrovascular,885,C0427055,facial paresis
C0038454,accident cerebrovascular,885,C0018991,hemiplegia
C0038454,accident cerebrovascular,885,C0241526,unresponsiveness
C0038454,accident cerebrovascular,885,C0036572,seizure
C0038454,accident cerebrovascular,885,C0028643,numbness
C0004096,asthma,835,C0043144,wheezing
C0004096,asthma,835,C0010200,cough
C0004096,asthma,835,C0392680,shortness of breath
C0004096,asthma,835,C0232292,chest tightness
C0004096,asthma,835,C0850149,non-productive cough
C0004096,asthma,835,C0008033,pleuritic pain
C0004096,asthma,835,C0239134,productive cough
C0004096,asthma,835,C0436331,symptom aggravating factors
C0004096,asthma,835,C0476273,distress respiratory
C0027051,myocardial infarction,759,C0008031,pain chest
C0027051,myocardial infarction,759,C0520886,st segment elevation
C0027051,myocardial infarction,759,C0038990,sweat^UMLS:C0700590_sweating increased
C0027051,myocardial infarction,759,C0392680,shortness of breath
C0027051,myocardial infarction,759,C0520887,st segment depression
C0027051,myocardial infarction,759,C0086439,hypokinesia
C0027051,myocardial infarction,759,C0002962,angina pectoris
C0027051,myocardial infarction,759,C0438716,pressure chest
C0027051,myocardial infarction,759,C0520888,t wave inverted
C0027051,myocardial infarction,759,C0085619,orthopnea
C0027051,myocardial infarction,759,C0034642,rale
C0027051,myocardial infarction,759,C0232292,chest tightness
C0027051,myocardial infarction,759,C1305739,presence of q wave
C0027051,myocardial infarction,759,C0030252,palpitation
C0027051,myocardial infarction,759,C0013404,dyspnea
C0027051,myocardial infarction,759,C0235710,chest discomfort
C0027051,myocardial infarction,759,C0428977,bradycardia
C0027051,myocardial infarction,759,C0039070,syncope
C0020443,hypercholesterolemia,685,C0030193,pain
C0020443,hypercholesterolemia,685,C0008031,pain chest
C0020443,hypercholesterolemia,685,C0038990,sweat^UMLS:C0700590_sweating increased
C0020443,hypercholesterolemia,685,C0337672,nonsmoker
C0020443,hypercholesterolemia,685,C0438716,pressure chest
C0020443,hypercholesterolemia,685,C0039070,syncope
C0020443,hypercholesterolemia,685,C0028643,numbness
C0020443,hypercholesterolemia,685,C0235710,chest discomfort
C0020443,hypercholesterolemia,685,C0392680,shortness of breath
C0020443,hypercholesterolemia,685,C0520887,st segment depression
C0020443,hypercholesterolemia,685,C0233481,worry
C0020443,hypercholesterolemia,685,C0520888,t wave inverted
C0020443,hypercholesterolemia,685,C0428977,bradycardia
C0020443,hypercholesterolemia,685,C0013404,dyspnea
C0021311,infection,630,C0015967,fever
C0021311,infection,630,C0041834,erythema
C0021311,infection,630,C0029053,decreased translucency
C0021311,infection,630,C0019214,hepatosplenomegaly
C0021311,infection,630,C0085593,chill
C0021311,infection,630,C0033774,pruritus
C0021311,infection,630,C0011991,diarrhea
C0021311,infection,630,C0549483,abscess bacterial
C0021311,infection,630,C0038999,swelling
C0021311,infection,630,C0030193,pain
C0021311,infection,630,C0277797,apyrexial
C0021311,infection,630,C0010200,cough
C0042029,infection urinary tract,597,C0015967,fever
C0042029,infection urinary tract,597,C0013428,dysuria
C0042029,infection urinary tract,597,C0018965,hematuria
C0042029,infection urinary tract,597,C0235634,renal angle tenderness
C0042029,infection urinary tract,597,C0023380,lethargy
C0042029,infection urinary tract,597,C0004093,asthenia
C0042029,infection urinary tract,597,C0020625,hyponatremia
C0042029,infection urinary tract,597,C0578150,hemodynamically stable
C0042029,infection urinary tract,597,C0476273,distress respiratory
C0042029,infection urinary tract,597,C0241705,difficulty passing urine
C0042029,infection urinary tract,597,C0856054,mental status changes
C0042029,infection urinary tract,597,C0239110,consciousness clear
C0002871,anemia,544,C0085593,chill
C0002871,anemia,544,C0744492,guaiac positive
C0002871,anemia,544,C0746619,monoclonal
C0002871,anemia,544,C0013491,ecchymosis
C0002871,anemia,544,C1269955,tumor cell invasion
C0002871,anemia,544,C0019080,haemorrhage
C0002871,anemia,544,C0030232,pallor
C0002871,anemia,544,C0004093,asthenia
C0002871,anemia,544,C0015672,fatigue
C0002871,anemia,544,C0744740,heme positive
C0002871,anemia,544,C0004604,pain back
C0002871,anemia,544,C0149746,orthostasis
C0002871,anemia,544,C0020625,hyponatremia
C0002871,anemia,544,C0012833,dizziness
C0002871,anemia,544,C0392680,shortness of breath
C0002871,anemia,544,C0030193,pain
C0002871,anemia,544,C0035508,rhonchus
C0002871,anemia,544,C0003862,arthralgia
C0002871,anemia,544,C0038999,swelling
C0002871,anemia,544,C1096646,transaminitis
C0024117,chronic obstructive airway disease,524,C0392680,shortness of breath
C0024117,chronic obstructive airway disease,524,C0043144,wheezing
C0024117,chronic obstructive airway disease,524,C0010200,cough
C0024117,chronic obstructive airway disease,524,C0013404,dyspnea
C0024117,chronic obstructive airway disease,524,C0476273,distress respiratory
C0024117,chronic obstructive airway disease,524,C0241235,sputum purulent
C0024117,chronic obstructive airway disease,524,C0700292,hypoxemia
C0024117,chronic obstructive airway disease,524,C0020440,hypercapnia
C0024117,chronic obstructive airway disease,524,C0376405,patient non compliance
C0024117,chronic obstructive airway disease,524,C0232292,chest tightness
C0497327,dementia,504,C0015967,fever
C0497327,dementia,504,C0085639,fall
C0497327,dementia,504,C0241526,unresponsiveness
C0497327,dementia,504,C0023380,lethargy
C0497327,dementia,504,C0085631,agitation
C0497327,dementia,504,C0013491,ecchymosis
C0497327,dementia,504,C0039070,syncope
C0497327,dementia,504,C0034642,rale
C0497327,dementia,504,C0041657,unconscious state
C0497327,dementia,504,C0010200,cough
C0497327,dementia,504,C0425251,bedridden^UMLS:C0741453_bedridden
C0497327,dementia,504,C0030193,pain
C0497327,dementia,504,C0427055,facial paresis
C0497327,dementia,504,C0232498,abdominal tenderness
C0497327,dementia,504,C0035508,rhonchus
C0497327,dementia,504,C1273573,unsteady gait
C0497327,dementia,504,C0233762,hallucinations auditory
C1565489,insufficiency renal,445,C0392680,shortness of breath
C1565489,insufficiency renal,445,C0020461,hyperkalemia
C1565489,insufficiency renal,445,C0085619,orthopnea
C1565489,insufficiency renal,445,C0034642,rale
C1565489,insufficiency renal,445,C0085606,urgency of micturition
C1565489,insufficiency renal,445,C0003962,ascites
C1565489,insufficiency renal,445,C0744492,guaiac positive
C1565489,insufficiency renal,445,C0004093,asthenia
C1565489,insufficiency renal,445,C0277797,apyrexial
C1565489,insufficiency renal,445,C0856054,mental status changes
C1565489,insufficiency renal,445,C0013404,dyspnea
C1565489,insufficiency renal,445,C1299586,difficulty
C1565489,insufficiency renal,445,C0011991,diarrhea
C1565489,insufficiency renal,445,C0020649,hypotension
C1565489,insufficiency renal,445,C0238844,breath sounds decreased
C1565489,insufficiency renal,445,C0038999,swelling
C1565489,insufficiency renal,445,C0086439,hypokinesia
C0009676,confusion,408,C0036572,seizure
C0009676,confusion,408,C0014394,enuresis
C0009676,confusion,408,C0023380,lethargy
C0009676,confusion,408,C0234518,speech slurred
C0009676,confusion,408,C0085639,fall
C0009676,confusion,408,C0239110,consciousness clear
C0009676,confusion,408,C0856054,mental status changes
C0009676,confusion,408,C0232766,asterixis
C0009676,confusion,408,C0041657,unconscious state
C0009676,confusion,408,C0085631,agitation
C0009676,confusion,408,C0231530,muscle twitch
C0009676,confusion,408,C0004093,asthenia
C0009676,confusion,408,C0234450,sleepy
C0009676,confusion,408,C0012833,dizziness
C0009676,confusion,408,C0018681,headache
C0009676,confusion,408,C0013362,dysarthria
C0009676,confusion,408,C0220870,lightheadedness
C0009676,confusion,408,C0040822,tremor
C0009676,confusion,408,C0020625,hyponatremia
C0009676,confusion,408,C0241526,unresponsiveness
C0029408,degenerative polyarthritis,405,C0030193,pain
C0029408,degenerative polyarthritis,405,C0149696,food intolerance
C0029408,degenerative polyarthritis,405,C0239832,numbness of hand
C0029408,degenerative polyarthritis,405,C0858924,general discomfort
C0029408,degenerative polyarthritis,405,C0013144,drowsiness
C0029408,degenerative polyarthritis,405,C0004093,asthenia
C0029408,degenerative polyarthritis,405,C0337672,nonsmoker
C0029408,degenerative polyarthritis,405,C0850149,non-productive cough
C0029408,degenerative polyarthritis,405,C0085602,polydypsia
C0029408,degenerative polyarthritis,405,C0427008,stiffness
C0029408,degenerative polyarthritis,405,C1273573,unsteady gait
C0020676,hypothyroidism,398,C0392680,shortness of breath
C0020676,hypothyroidism,398,C0242453,prostatism
C0020676,hypothyroidism,398,C0013144,drowsiness^UMLS:C0234450_sleepy
C0020676,hypothyroidism,398,C0020625,hyponatremia
C0020676,hypothyroidism,398,C0085639,fall
C0020676,hypothyroidism,398,C1273573,unsteady gait
C0020676,hypothyroidism,398,C0032617,polyuria
C0020676,hypothyroidism,398,C0020649,hypotension
C0020676,hypothyroidism,398,C1299586,difficulty
C0020676,hypothyroidism,398,C0039070,syncope
C0020676,hypothyroidism,398,C0028084,nightmare
C0020676,hypothyroidism,398,C0234518,speech slurred
C0020676,hypothyroidism,398,C0043094,weight gain
C0020676,hypothyroidism,398,C0004093,asthenia
C0020676,hypothyroidism,398,C0015672,fatigue^UMLS:C0557875_tired
C0020676,hypothyroidism,398,C0085631,agitation
C0020676,hypothyroidism,398,C0856054,mental status changes
C0020676,hypothyroidism,398,C0424230,motor retardation
C0020676,hypothyroidism,398,C0042963,vomiting
C0020676,hypothyroidism,398,C0028643,numbness
C0020676,hypothyroidism,398,C0577559,mass of body structure
C0700613,anxiety state,390,C0233481,worry
C0700613,anxiety state,390,C0424000,feeling suicidal
C0700613,anxiety state,390,C0438696,suicidal
C0700613,anxiety state,390,C0917801,sleeplessness
C0700613,anxiety state,390,C0150041,feeling hopeless
C0700613,anxiety state,390,C0022107,irritable mood
C0700613,anxiety state,390,C0040822,tremor
C0700613,anxiety state,390,C0312422,blackout
C0700613,anxiety state,390,C0424109,weepiness
C0700613,anxiety state,390,C0557075,has religious belief
C0700613,anxiety state,390,C0027769,nervousness
C0700613,anxiety state,390,C0233763,hallucinations visual
C0700613,anxiety state,390,C0016579,formication
C0700613,anxiety state,390,C1299586,difficulty
C0700613,anxiety state,390,C0008031,pain chest
C0700613,anxiety state,390,C0376405,patient non compliance
C0700613,anxiety state,390,C0085631,agitation
C0700613,anxiety state,390,C0030252,palpitation
C0700613,anxiety state,390,C0233762,hallucinations auditory
C0700613,anxiety state,390,C0344315,mood depressed
C0700613,anxiety state,390,C0600142,hot flush
C0700613,anxiety state,390,C0030193,pain
C0700613,anxiety state,390,C0239110,consciousness clear
C0700613,anxiety state,390,C0028084,nightmare
C0006826,malignant neoplasms^UMLS:C1306459_primary malignant neoplasm,354,C0030193,pain
C0006826,malignant neoplasms^UMLS:C1306459_primary malignant neoplasm,354,C0577559,mass of body structure
C0006826,malignant neoplasms^UMLS:C1306459_primary malignant neoplasm,354,C0221198,lesion
